Id,rf_auto_0,rf_manual_0,ad_linear_0,ad_sqr_0,ad_exp_0,gbr_0,et_auto_0,et_manual_0,svr_rbf_0,svr_sigmoid_0,xgbr_0,rf_auto_1,rf_manual_1,ad_linear_1,ad_sqr_1,ad_exp_1,gbr_1,et_auto_1,et_manual_1,svr_rbf_1,svr_sigmoid_1,xgbr_1,rf_auto_2,rf_manual_2,ad_linear_2,ad_sqr_2,ad_exp_2,gbr_2,et_auto_2,et_manual_2,svr_rbf_2,svr_sigmoid_2,xgbr_2,rf_auto_3,rf_manual_3,ad_linear_3,ad_sqr_3,ad_exp_3,gbr_3,et_auto_3,et_manual_3,svr_rbf_3,svr_sigmoid_3,xgbr_3,rf_auto_4,rf_manual_4,ad_linear_4,ad_sqr_4,ad_exp_4,gbr_4,et_auto_4,et_manual_4,svr_rbf_4,svr_sigmoid_4,xgbr_4,rf_auto_5,rf_manual_5,ad_linear_5,ad_sqr_5,ad_exp_5,gbr_5,et_auto_5,et_manual_5,svr_rbf_5,svr_sigmoid_5,xgbr_5,rf_auto_6,rf_manual_6,ad_linear_6,ad_sqr_6,ad_exp_6,gbr_6,et_auto_6,et_manual_6,svr_rbf_6,svr_sigmoid_6,xgbr_6,rf_auto_7,rf_manual_7,ad_linear_7,ad_sqr_7,ad_exp_7,gbr_7,et_auto_7,et_manual_7,svr_rbf_7,svr_sigmoid_7,xgbr_7,rf_auto_8,rf_manual_8,ad_linear_8,ad_sqr_8,ad_exp_8,gbr_8,et_auto_8,et_manual_8,svr_rbf_8,svr_sigmoid_8,xgbr_8,rf_auto_9,rf_manual_9,ad_linear_9,ad_sqr_9,ad_exp_9,gbr_9,et_auto_9,et_manual_9,svr_rbf_9,svr_sigmoid_9,xgbr_9,SalePrice
1,201530.2328,207476.0,203953.237589,210328.763713,202670.214511,200512.47136,208540.555556,211301.868999,169507.991509,167032.697431,207301.78125,201530.2328,207476.0,203953.237589,210328.763713,202670.214511,200512.47136,208540.555556,211301.868999,169507.991509,167032.697431,207301.78125,201530.2328,207476.0,203953.237589,210328.763713,202670.214511,200512.47136,208540.555556,211301.868999,169507.991509,167032.697431,207301.78125,201530.2328,207476.0,203953.237589,210328.763713,202670.214511,200512.47136,208540.555556,211301.868999,169507.991509,167032.697431,207301.78125,201530.2328,207476.0,203953.237589,210328.763713,202670.214511,200512.47136,208540.555556,211301.868999,169507.991509,167032.697431,207301.78125,201530.2328,207476.0,203953.237589,210328.763713,202670.214511,200512.47136,208540.555556,211301.868999,169507.991509,167032.697431,207301.78125,201530.2328,207476.0,203953.237589,210328.763713,202670.214511,200512.47136,208540.555556,211301.868999,169507.991509,167032.697431,207301.78125,201530.2328,207476.0,203953.237589,210328.763713,202670.214511,200512.47136,208540.555556,211301.868999,169507.991509,167032.697431,207301.78125,201530.2328,207476.0,203953.237589,210328.763713,202670.214511,200512.47136,208540.555556,211301.868999,169507.991509,167032.697431,207301.78125,201530.2328,207476.0,203953.237589,210328.763713,202670.214511,200512.47136,208540.555556,211301.868999,169507.991509,167032.697431,207301.78125,208500
2,174115.37247,178874.6,176846.736842,163413.513514,176607.402597,175871.127423,181500.0,182817.813002,162634.784511,163343.287564,183106.875,174115.37247,178874.6,176846.736842,163413.513514,176607.402597,175871.127423,181500.0,182817.813002,162634.784511,163343.287564,183106.875,174115.37247,178874.6,176846.736842,163413.513514,176607.402597,175871.127423,181500.0,182817.813002,162634.784511,163343.287564,183106.875,174115.37247,178874.6,176846.736842,163413.513514,176607.402597,175871.127423,181500.0,182817.813002,162634.784511,163343.287564,183106.875,174115.37247,178874.6,176846.736842,163413.513514,176607.402597,175871.127423,181500.0,182817.813002,162634.784511,163343.287564,183106.875,174115.37247,178874.6,176846.736842,163413.513514,176607.402597,175871.127423,181500.0,182817.813002,162634.784511,163343.287564,183106.875,174115.37247,178874.6,176846.736842,163413.513514,176607.402597,175871.127423,181500.0,182817.813002,162634.784511,163343.287564,183106.875,174115.37247,178874.6,176846.736842,163413.513514,176607.402597,175871.127423,181500.0,182817.813002,162634.784511,163343.287564,183106.875,174115.37247,178874.6,176846.736842,163413.513514,176607.402597,175871.127423,181500.0,182817.813002,162634.784511,163343.287564,183106.875,174115.37247,178874.6,176846.736842,163413.513514,176607.402597,175871.127423,181500.0,182817.813002,162634.784511,163343.287564,183106.875,181500
3,217092.377446,221529.92,213996.762712,227934.647841,218954.117647,212742.56745,223553.350168,223599.920817,170997.892922,168128.76991,218668.4375,217092.377446,221529.92,213996.762712,227934.647841,218954.117647,212742.56745,223553.350168,223599.920817,170997.892922,168128.76991,218668.4375,217092.377446,221529.92,213996.762712,227934.647841,218954.117647,212742.56745,223553.350168,223599.920817,170997.892922,168128.76991,218668.4375,217092.377446,221529.92,213996.762712,227934.647841,218954.117647,212742.56745,223553.350168,223599.920817,170997.892922,168128.76991,218668.4375,217092.377446,221529.92,213996.762712,227934.647841,218954.117647,212742.56745,223553.350168,223599.920817,170997.892922,168128.76991,218668.4375,217092.377446,221529.92,213996.762712,227934.647841,218954.117647,212742.56745,223553.350168,223599.920817,170997.892922,168128.76991,218668.4375,217092.377446,221529.92,213996.762712,227934.647841,218954.117647,212742.56745,223553.350168,223599.920817,170997.892922,168128.76991,218668.4375,217092.377446,221529.92,213996.762712,227934.647841,218954.117647,212742.56745,223553.350168,223599.920817,170997.892922,168128.76991,218668.4375,217092.377446,221529.92,213996.762712,227934.647841,218954.117647,212742.56745,223553.350168,223599.920817,170997.892922,168128.76991,218668.4375,217092.377446,221529.92,213996.762712,227934.647841,218954.117647,212742.56745,223553.350168,223599.920817,170997.892922,168128.76991,218668.4375,223500
4,158887.905724,157251.832,206846.681416,193343.938326,208086.567059,170975.535027,140000.0,146832.503985,162281.315179,163193.409979,147300.640625,158887.905724,157251.832,206846.681416,193343.938326,208086.567059,170975.535027,140000.0,146832.503985,162281.315179,163193.409979,147300.640625,158887.905724,157251.832,206846.681416,193343.938326,208086.567059,170975.535027,140000.0,146832.503985,162281.315179,163193.409979,147300.640625,158887.905724,157251.832,206846.681416,193343.938326,208086.567059,170975.535027,140000.0,146832.503985,162281.315179,163193.409979,147300.640625,158887.905724,157251.832,206846.681416,193343.938326,208086.567059,170975.535027,140000.0,146832.503985,162281.315179,163193.409979,147300.640625,158887.905724,157251.832,206846.681416,193343.938326,208086.567059,170975.535027,140000.0,146832.503985,162281.315179,163193.409979,147300.640625,158887.905724,157251.832,206846.681416,193343.938326,208086.567059,170975.535027,140000.0,146832.503985,162281.315179,163193.409979,147300.640625,158887.905724,157251.832,206846.681416,193343.938326,208086.567059,170975.535027,140000.0,146832.503985,162281.315179,163193.409979,147300.640625,158887.905724,157251.832,206846.681416,193343.938326,208086.567059,170975.535027,140000.0,146832.503985,162281.315179,163193.409979,147300.640625,158887.905724,157251.832,206846.681416,193343.938326,208086.567059,170975.535027,140000.0,146832.503985,162281.315179,163193.409979,147300.640625,140000
5,266915.09674,267592.796,309188.973684,308451.471338,315726.509434,288778.139521,250000.0,258820.199,171836.432389,170624.403415,259968.09375,266915.09674,267592.796,309188.973684,308451.471338,315726.509434,288778.139521,250000.0,258820.199,171836.432389,170624.403415,259968.09375,266915.09674,267592.796,309188.973684,308451.471338,315726.509434,288778.139521,250000.0,258820.199,171836.432389,170624.403415,259968.09375,266915.09674,267592.796,309188.973684,308451.471338,315726.509434,288778.139521,250000.0,258820.199,171836.432389,170624.403415,259968.09375,266915.09674,267592.796,309188.973684,308451.471338,315726.509434,288778.139521,250000.0,258820.199,171836.432389,170624.403415,259968.09375,266915.09674,267592.796,309188.973684,308451.471338,315726.509434,288778.139521,250000.0,258820.199,171836.432389,170624.403415,259968.09375,266915.09674,267592.796,309188.973684,308451.471338,315726.509434,288778.139521,250000.0,258820.199,171836.432389,170624.403415,259968.09375,266915.09674,267592.796,309188.973684,308451.471338,315726.509434,288778.139521,250000.0,258820.199,171836.432389,170624.403415,259968.09375,266915.09674,267592.796,309188.973684,308451.471338,315726.509434,288778.139521,250000.0,258820.199,171836.432389,170624.403415,259968.09375,266915.09674,267592.796,309188.973684,308451.471338,315726.509434,288778.139521,250000.0,258820.199,171836.432389,170624.403415,259968.09375,250000
6,146935.146143,145981.74,144555.374603,146582.126394,149315.798387,150410.867113,143006.111111,144567.203818,162062.029343,163782.557858,146733.59375,146935.146143,145981.74,144555.374603,146582.126394,149315.798387,150410.867113,143006.111111,144567.203818,162062.029343,163782.557858,146733.59375,146935.146143,145981.74,144555.374603,146582.126394,149315.798387,150410.867113,143006.111111,144567.203818,162062.029343,163782.557858,146733.59375,146935.146143,145981.74,144555.374603,146582.126394,149315.798387,150410.867113,143006.111111,144567.203818,162062.029343,163782.557858,146733.59375,146935.146143,145981.74,144555.374603,146582.126394,149315.798387,150410.867113,143006.111111,144567.203818,162062.029343,163782.557858,146733.59375,146935.146143,145981.74,144555.374603,146582.126394,149315.798387,150410.867113,143006.111111,144567.203818,162062.029343,163782.557858,146733.59375,146935.146143,145981.74,144555.374603,146582.126394,149315.798387,150410.867113,143006.111111,144567.203818,162062.029343,163782.557858,146733.59375,146935.146143,145981.74,144555.374603,146582.126394,149315.798387,150410.867113,143006.111111,144567.203818,162062.029343,163782.557858,146733.59375,146935.146143,145981.74,144555.374603,146582.126394,149315.798387,150410.867113,143006.111111,144567.203818,162062.029343,163782.557858,146733.59375,146935.146143,145981.74,144555.374603,146582.126394,149315.798387,150410.867113,143006.111111,144567.203818,162062.029343,163782.557858,146733.59375,143000
7,294870.042868,298495.644,278400.258065,268015.655773,282316.6875,298184.567916,307000.0,302647.026389,170916.948612,169340.783456,299507.28125,294870.042868,298495.644,278400.258065,268015.655773,282316.6875,298184.567916,307000.0,302647.026389,170916.948612,169340.783456,299507.28125,294870.042868,298495.644,278400.258065,268015.655773,282316.6875,298184.567916,307000.0,302647.026389,170916.948612,169340.783456,299507.28125,294870.042868,298495.644,278400.258065,268015.655773,282316.6875,298184.567916,307000.0,302647.026389,170916.948612,169340.783456,299507.28125,294870.042868,298495.644,278400.258065,268015.655773,282316.6875,298184.567916,307000.0,302647.026389,170916.948612,169340.783456,299507.28125,294870.042868,298495.644,278400.258065,268015.655773,282316.6875,298184.567916,307000.0,302647.026389,170916.948612,169340.783456,299507.28125,294870.042868,298495.644,278400.258065,268015.655773,282316.6875,298184.567916,307000.0,302647.026389,170916.948612,169340.783456,299507.28125,294870.042868,298495.644,278400.258065,268015.655773,282316.6875,298184.567916,307000.0,302647.026389,170916.948612,169340.783456,299507.28125,294870.042868,298495.644,278400.258065,268015.655773,282316.6875,298184.567916,307000.0,302647.026389,170916.948612,169340.783456,299507.28125,294870.042868,298495.644,278400.258065,268015.655773,282316.6875,298184.567916,307000.0,302647.026389,170916.948612,169340.783456,299507.28125,307000
8,205616.880383,207718.432,216257.8925,226055.428571,222269.98524,200780.964321,200000.0,203250.0199,163369.99008,165542.251139,206246.015625,205616.880383,207718.432,216257.8925,226055.428571,222269.98524,200780.964321,200000.0,203250.0199,163369.99008,165542.251139,206246.015625,205616.880383,207718.432,216257.8925,226055.428571,222269.98524,200780.964321,200000.0,203250.0199,163369.99008,165542.251139,206246.015625,205616.880383,207718.432,216257.8925,226055.428571,222269.98524,200780.964321,200000.0,203250.0199,163369.99008,165542.251139,206246.015625,205616.880383,207718.432,216257.8925,226055.428571,222269.98524,200780.964321,200000.0,203250.0199,163369.99008,165542.251139,206246.015625,205616.880383,207718.432,216257.8925,226055.428571,222269.98524,200780.964321,200000.0,203250.0199,163369.99008,165542.251139,206246.015625,205616.880383,207718.432,216257.8925,226055.428571,222269.98524,200780.964321,200000.0,203250.0199,163369.99008,165542.251139,206246.015625,205616.880383,207718.432,216257.8925,226055.428571,222269.98524,200780.964321,200000.0,203250.0199,163369.99008,165542.251139,206246.015625,205616.880383,207718.432,216257.8925,226055.428571,222269.98524,200780.964321,200000.0,203250.0199,163369.99008,165542.251139,206246.015625,205616.880383,207718.432,216257.8925,226055.428571,222269.98524,200780.964321,200000.0,203250.0199,163369.99008,165542.251139,206246.015625,200000
9,141654.7233,137748.0,174180.272727,153202.409774,177475.35514,142119.719041,129900.0,129850.352628,160315.751036,158923.295928,133298.71875,141654.7233,137748.0,174180.272727,153202.409774,177475.35514,142119.719041,129900.0,129850.352628,160315.751036,158923.295928,133298.71875,141654.7233,137748.0,174180.272727,153202.409774,177475.35514,142119.719041,129900.0,129850.352628,160315.751036,158923.295928,133298.71875,141654.7233,137748.0,174180.272727,153202.409774,177475.35514,142119.719041,129900.0,129850.352628,160315.751036,158923.295928,133298.71875,141654.7233,137748.0,174180.272727,153202.409774,177475.35514,142119.719041,129900.0,129850.352628,160315.751036,158923.295928,133298.71875,141654.7233,137748.0,174180.272727,153202.409774,177475.35514,142119.719041,129900.0,129850.352628,160315.751036,158923.295928,133298.71875,141654.7233,137748.0,174180.272727,153202.409774,177475.35514,142119.719041,129900.0,129850.352628,160315.751036,158923.295928,133298.71875,141654.7233,137748.0,174180.272727,153202.409774,177475.35514,142119.719041,129900.0,129850.352628,160315.751036,158923.295928,133298.71875,141654.7233,137748.0,174180.272727,153202.409774,177475.35514,142119.719041,129900.0,129850.352628,160315.751036,158923.295928,133298.71875,141654.7233,137748.0,174180.272727,153202.409774,177475.35514,142119.719041,129900.0,129850.352628,160315.751036,158923.295928,133298.71875,129900
10,121510.93242,120437.74,124544.604288,131943.565693,126457.404362,125046.874092,118000.0,118079.139294,160168.86174,159673.216385,118807.171875,121510.93242,120437.74,124544.604288,131943.565693,126457.404362,125046.874092,118000.0,118079.139294,160168.86174,159673.216385,118807.171875,121510.93242,120437.74,124544.604288,131943.565693,126457.404362,125046.874092,118000.0,118079.139294,160168.86174,159673.216385,118807.171875,121510.93242,120437.74,124544.604288,131943.565693,126457.404362,125046.874092,118000.0,118079.139294,160168.86174,159673.216385,118807.171875,121510.93242,120437.74,124544.604288,131943.565693,126457.404362,125046.874092,118000.0,118079.139294,160168.86174,159673.216385,118807.171875,121510.93242,120437.74,124544.604288,131943.565693,126457.404362,125046.874092,118000.0,118079.139294,160168.86174,159673.216385,118807.171875,121510.93242,120437.74,124544.604288,131943.565693,126457.404362,125046.874092,118000.0,118079.139294,160168.86174,159673.216385,118807.171875,121510.93242,120437.74,124544.604288,131943.565693,126457.404362,125046.874092,118000.0,118079.139294,160168.86174,159673.216385,118807.171875,121510.93242,120437.74,124544.604288,131943.565693,126457.404362,125046.874092,118000.0,118079.139294,160168.86174,159673.216385,118807.171875,121510.93242,120437.74,124544.604288,131943.565693,126457.404362,125046.874092,118000.0,118079.139294,160168.86174,159673.216385,118807.171875,118000
